UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
DAY,1628121600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,35.77,38.2,35.53,37.36,1628121699,1628207921,35.75,38.2,1628173029,35.53,1628126946,37.36,3083,1512,1571,0,85725.66576667,3172910.31615304,43623.20711719,1616569.52399373,42102.45864948,1556340.79215933,0,0
DAY,1628208000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,37.36,40.35,35.73,39.49,1628208110,1628293440,37.39,40.35,1628278033,35.73,1628223297,39.49,2366,1216,1150,0,67057.12866416,2555031.41077238,31929.63986414,1228030.07507701,35127.48880002,1327001.33569542,0,0
DAY,1628294400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,39.49,40.5,37.54,39.42,1628294495,1628380757,39.41,40.5,1628331225,37.54,1628353233,39.42,2594,1139,1455,0,75935.8138676,2971130.2269748,36203.50772238,1418461.62916631,39732.30614522,1552668.59780847,0,0
DAY,1628380800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,39.42,39.53,36.95,37.64,1628380861,1628466933,39.52,39.53,1628382224,36.95,1628450108,37.64,1691,644,1047,0,41940.07673885,1599528.63977212,13197.0643322,502445.450636849,28743.01240665,1097083.1891354,0,0
DAY,1628467200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,37.64,40,36.37,38.8,1628467204,1628553105,37.67,40,1628525271,36.37,1628471726,38.8,2107,1030,1077,0,72398.49790718,2797142.12768626,35137.68769198,1365270.36847016,37260.8102152,1431871.75921616,0,0
DAY,1628553600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,38.8,41.65,38.26,40.67,1628553706,1628639844,38.64,41.65,1628598667,38.26,1628556532,40.67,2880,1504,1376,0,83000.22155999,3357577.2705687,43959.04566569,1776841.74257649,39041.1758943,1580735.52799228,0,0
DAY,1628640000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,40.67,43.7,40.67,41.71,1628640137,1628726395,40.68,43.7,1628713734,40.68,1628640141,41.71,3002,1633,1369,0,74184.27279637,3146109.39733021,42414.58886147,1794913.8088841,31769.6839349,1351195.58844612,0,0
DAY,1628726400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,41.71,43.4,39.38,41.01,1628726400,1628812726,41.68,43.4,1628738521,39.38,1628780354,41.01,2642,1270,1372,0,55304.08955605,2265165.22567768,26911.89324915,1102707.47037682,28392.1963069,1162457.75530093,0,0
DAY,1628812800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,41.01,44.9,40.75,44.9,1628812865,1628899146,41.11,44.9,1628899146,40.75,1628813933,44.9,4336,3157,1179,0,129071.38936556,5650415.72549189,96184.12657131,4218871.3597454,32887.26279425,1431544.36574646,0,0
DAY,1628899200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,44.9,44.9,42.8,44.17,1628899284,1628985592,44.76,44.85,1628934037,42.8,1628936416,44.17,1794,902,892,0,40881.57624739,1792787.92552156,21126.87250617,927481.115417755,19754.70374122,865306.810103783,0,0
